name,count
1,10
2,25
3,11
4,19
5,31
6,26
7,24
8,22
9,12
10,23
11,11
12,16
13,18
14,30
15,13
16,10
17,11
18,12
19,47
20,35
21,35
22,35
23,38
24,73
25,26
26,40
27,47
28,6
29,7
30,31
31,7
32,17
33,8
34,19
35,8
36,12
37,24
38,7
39,19
40,32
41,49
42,24
43,31
44,32
45,19
46,23
47,32
48,18
49,18
50,25
51,34
52,27
53,54
54,23
55,18
56,13
57,43
58,19
59,69
60,29
61,26
62,11
63,12
64,11
65,39
66,14
67,23
68,25
69,47
70,21
71,37
72,47
73,11
74,16
75,17
76,14
77,56
78,53
79,35
80,24
81,26
82,26
83,32
84,35
85,47
86,20
87,10
88,33
89,8
90,28
91,33
92,33
93,14
94,24
95,31
96,17
97,12
98,6
99,8
100,8
101,7
102,3
103,5
104,28
